orcid	wikidata	twitter	github
0000-0003-4916-2433	Q66565705		
0000-0002-3294-3869	Q21044810	tamaramunzner	
0000-0002-8208-9920	Q83372939	all_are	
0000-0002-1384-1162	Q82804945	JensJot	
0000-0002-1458-0064	Q58854466		
0000-0003-2676-4087	Q51542020		
0000-0001-5651-7496	Q88018028		
0000-0002-7335-6548	Q1181545		
0000-0001-5028-2083	Q92582906		
0000-0002-8282-3910	Q59709956		
0000-0001-7895-3846	Q92037137		
0000-0001-8180-8682	Q42732496		
0000-0003-2209-8128	Q60148718	niemasd	niemasd
0000-0002-6950-5504	Q47172992		
0000-0002-6450-7041	Q56641640	danbri	danbri
0000-0002-5213-2756	Q61882098		
0000-0001-8127-0413	Q91332146	jbhay	
0000-0003-4222-7484	Q88284918	alextokolyi	atokolyi
0000-0001-8916-3639	Q83486552		
0000-0002-3515-3993	Q86255827		
0000-0001-6099-2345	Q24390693	suneman	suneman
0000-0002-1104-4610	Q7089853	owasow	
0000-0002-8965-2595	Q90207883		
0000-0003-3538-3550	Q55189417		
0000-0002-3442-8289	Q95606067		
0000-0002-7935-3647	Q96067418		
0000-0002-1459-6226	Q56507858		
0000-0002-9501-635X	Q91750059		
0000-0003-4713-9985	Q98243301		
0000-0001-8517-8841	Q98394418		
0000-0002-2515-3842	Q21264604	skdh	
0000-0003-2451-0665	Q29044314	martinpotthast	
0000-0002-1803-1863	Q59399643	keyboardpipette	adomingues
0000-0003-2148-3841	Q92820806		
0000-0001-7832-6156	Q38330308	simonjgreenhill	
0000-0003-0918-3766	Q41804917	AchimZeileis	
0000-0002-2557-6490	Q43401762		
0000-0002-4869-8837	Q59434748		
0000-0002-1796-1508	Q56918298	dozenoaks	
0000-0002-7961-5002	Q39981260		tijl
0000-0003-0601-908X	Q80172712		
0000-0002-0383-3943	Q37608451		
0000-0001-5049-9354	Q88454622		
0000-0001-5571-9774	Q88662889		
0000-0003-2294-3440	Q73794745		
0000-0002-9615-1916	Q88185380	pharmec_	
0000-0001-8657-9815	Q89498051		
0000-0003-0201-2315	Q57657741		
0000-0002-5597-4537	Q37624350	NoahFahlgren	nfahlgren
0000-0002-1054-3717	Q59537649		
0000-0001-9327-1675	Q77170856		
0000-0002-2688-9528	Q91602984		
0000-0003-3471-4397	Q47710947	DrHHNZ	
0000-0002-9784-6381	Q92182672		
0000-0002-6338-529X	Q92396160		
0000-0002-0193-6658	Q56355822		
0000-0001-5054-3271	Q94448812		
0000-0003-1608-5216	Q43192864		
0000-0002-5248-8197	Q58875396	wouter_decoster	wdecoster
0000-0002-4303-7685	Q37629137		
0000-0002-2961-8838	Q88064891		
0000-0002-3340-8518	Q58282207	jschoeley	jschoeley
0000-0002-0779-7476	Q38327769		
0000-0002-7737-0785	Q59691517		
0000-0003-2881-4906	Q59683084		
0000-0003-0465-5138	Q30225293		
0000-0002-8148-3467	Q57004906		
0000-0002-4505-0517	Q30505396		
0000-0002-4880-7570	Q40168623		
0000-0002-3097-1591	Q58283122		
0000-0002-1443-1720	Q64140800		
0000-0003-3906-3060	Q42560411		
0000-0002-2993-7484	Q87535488		seamanticscience
0000-0001-6288-9958	Q82080815		
0000-0003-4889-9484	Q47328054	andresmh	
0000-0002-2158-3458	Q51650417		
0000-0002-5859-6260	Q38304570		mauriziopaul
0000-0001-6439-5038	Q96909219		
0000-0002-6634-2885	Q52617115		
0000-0002-5320-6024	Q38804570		
0000-0003-4894-6834	Q90584649		
0000-0001-6297-7739	Q56256944		
0000-0003-4582-265X	Q56427007		
0000-0002-7957-3180	Q92340487		
0000-0002-4477-7343	Q92431697		
0000-0001-6551-8140	Q56751331		
0000-0001-7076-9083	Q30103399		RinkeHoekstra
0000-0001-9258-0150	Q41546669		
0000-0002-3253-5400	Q48924599		
0000-0001-9423-6062	Q58477773		
0000-0001-8888-4661	Q58624067		
0000-0001-8530-3067	Q55590426		philippbayer
0000-0002-1158-8220	Q59682606		
0000-0003-4211-1852	Q59827011		
0000-0002-2198-8025	Q84669189		
0000-0001-6620-758X	Q100300501	RiboRhys	
0000-0003-3271-1651	Q51686056		
0000-0002-6125-3672	Q60891225	HansonM90	
0000-0002-9854-7076	Q55777543	IoanaA_Cristea	
0000-0003-1384-4352	Q39617117		
0000-0002-5224-0335	Q91673883		
0000-0002-3239-7714	Q63845229		
0000-0001-6699-3568	Q37366508		
0000-0003-1331-9670	Q88146198		
0000-0002-5328-8613	Q56809566		
0000-0002-0862-5289	Q88606401	jtmargraf	
0000-0001-6214-4083	Q42305697		
0000-0002-5028-9047	Q57447237		
0000-0002-1871-2108	Q95974727		
0000-0002-8911-1174	Q58092434		
0000-0002-1011-1244	Q61656176	joeroe90	
0000-0002-4568-2012	Q62940588		robmoss
0000-0002-1121-9142	Q51850176		
0000-0002-2226-4213	Q61155559		
0000-0002-1077-5286	Q83865662		
0000-0002-7509-7332	Q57408552	mdettinger	
0000-0003-4845-5760	Q89857351		
0000-0001-9128-2004	Q57079445		
0000-0002-3553-8658	Q104107888	_dim_ma_	
0000-0001-9010-2104	Q91718705		
0000-0001-8287-127X	Q91728410		
0000-0002-7256-2892	Q93132407		
0000-0002-5383-3474	Q60628665	SaadOmer3	
0000-0001-9584-7842	Q64785558		
0000-0002-7339-742X	Q113648755		
0000-0002-2494-0123	Q85622969		mcarondiotte
0000-0003-0572-0026	Q86360693		
0000-0002-0936-026X	Q58489577	jamesheathers	
0000-0003-2775-0330	Q87399996		
0000-0001-6426-7167	Q103812899		
0000-0002-2829-4843	Q61114815		
0000-0003-4634-4995	Q41725940		
0000-0002-5559-2889	Q89552856		
0000-0002-5007-1582	Q62036655		
0000-0002-7523-5539	Q22011085	LisaDeBruine	
0000-0003-3628-5311	Q44629114	albertogcurto	
0000-0001-7414-8823	Q91737607		
0000-0002-3931-3165	Q87673240		
0000-0001-5998-4647	Q29349815		
0000-0001-8927-1795	Q22046575	AstroKatie	
0000-0002-4225-9024	Q92884951		
0000-0002-4705-6891	Q63489050	pfcdgayo	
0000-0002-1728-2388	Q41324543		
0000-0003-4423-4370	Q47475003	cthoyt	cthoyt
0000-0002-4274-4580	Q68441456	janalasser	JanaLasser
0000-0002-9975-8457	Q94474406		
0000-0002-9020-1716	Q44141442		
0000-0001-6672-6750	Q60057799		
0000-0001-9057-6705	Q96195331		
0000-0001-5754-9633	Q42793405		
0000-0003-1843-4483	Q63607659	leohavemann	
0000-0002-3433-4530	Q55763058		
0000-0002-4200-2544	Q67384722	EvoDevoDiva	
0000-0002-6573-5900	Q38155461		
0000-0002-4607-2064	Q57209412		
0000-0001-6605-3437	Q89418751		
0000-0002-0204-0239	Q57543685		
0000-0002-9459-9493	Q90417727		
0000-0003-0389-0945	Q92958884	BronsonBHarry	
0000-0002-7763-3565	Q60709523		
0000-0001-7990-3592	Q55143424		
0000-0002-2663-9940	Q55487791		
0000-0002-9868-7773	Q42177115		
0000-0002-3586-1316	Q56559811		
0000-0002-7967-5822	Q94331390		
0000-0003-2513-3216	Q73323836	koutterson	
0000-0001-7883-8522	Q56918505		
0000-0002-8165-473X	Q43060935		
0000-0001-5092-6168	Q57559712	somssichm	
0000-0002-5166-0717	Q87780714		
0000-0001-8717-2523	Q96146499		
0000-0001-9674-401X	Q60234273	keesone	
0000-0001-9674-401X	Q60234273	Teszelszky	
0000-0001-8921-0386	Q88984538		
0000-0001-9140-9028	Q56536746		
0000-0002-2094-344X	Q84209122		
0000-0003-2580-0701	Q21394635	BevanWeir	onco-p53
0000-0002-7768-8507	Q57016266		
0000-0002-3980-8299	Q89545436	HFLA_PhD	
0000-0002-0493-1342	Q56508058		
0000-0003-1504-9213	Q28322531	mlipsitch	
0000-0001-5688-9978	Q58144293		
0000-0002-7539-3465	Q47189723	MichaelPlankNZ	
0000-0001-6748-2479	Q92956450		
0000-0001-6409-0875	Q41822445		
0000-0003-4941-6536	Q28367484	albertcardona	
0000-0002-3844-7639	Q81427215		
0000-0003-3769-431X	Q95933810		
0000-0003-4538-6878	Q96577021		
0000-0002-1156-9345	Q100378879	GidMK	
0000-0002-1105-6734	Q29904493	HankGreelyLSJU	
0000-0001-8610-3489	Q90868323		
0000-0003-2130-2887	Q58688848	madduri	
0000-0001-5547-2185	Q55174579		
0000-0001-9655-3715	Q91342824		
0000-0002-7099-9396	Q55403944		
0000-0001-7044-5257	Q24697638		
0000-0002-7309-0751	Q47162897		
0000-0003-1726-8989	Q57613248		
0000-0002-4730-6985	Q58004772	wavygk	
0000-0002-9943-7557	Q87799449		
0000-0001-9006-016X	Q51639600	EvolOdonata	
0000-0003-3473-8962	Q88783260		
0000-0003-4003-2819	Q95627864		
0000-0002-6591-6760	Q61829366		
0000-0002-2044-9732	Q90858044		
0000-0003-4071-5329	Q86542634		
0000-0001-6825-9439	Q29654820	rwwh	
0000-0002-3211-3216	Q47155706		
0000-0002-8008-7032	Q30174316		
0000-0001-7949-5496	Q43156103		
0000-0001-8025-6361	Q41049736		ewallace
0000-0001-9513-9993	Q56993441	pjacock	peterjc
0000-0001-6204-5384	Q71840154		
0000-0002-8240-939X	Q41044224		
0000-0003-1270-4980	Q88733227		
0000-0002-9803-0122	Q24174820	dan_marinazzo	
0000-0002-4130-7784	Q37374404		
0000-0002-7992-7970	Q37383775		
0000-0003-3183-8116	Q56090074		
0000-0001-6696-840X	Q56432814		
0000-0003-4641-5255	Q96099640		
0000-0001-9245-6838	Q57010776		
0000-0001-8648-4998	Q67209852		
0000-0002-1273-1906	Q67256196		
0000-0003-2778-6317	Q98227536		
0000-0003-0900-6903	Q59669951		rsdoiel
0000-0001-5906-7873	Q44983488		
0000-0002-7075-8808	Q100458058		
0000-0003-2567-8013	Q56373906		chazhyseni
0000-0001-9384-9801	Q98395708		
0000-0003-3855-5821	Q104256672		
0000-0001-9445-5548	Q111701905	ShanKothari	
0000-0001-6522-4935	Q104745117		
0000-0002-3244-4250	Q89094763		
0000-0001-6439-9397	Q88446853		chasemc
0000-0001-6380-7651	Q89986522		
0000-0003-2655-7037	Q59676515		LilithElina
0000-0002-8284-1254	Q56447100		
0000-0003-3941-4537	Q39685175		
0000-0001-5981-6707	Q84906094		
0000-0002-9536-3378	Q57888822		
0000-0002-8833-4501	Q58237868		
0000-0002-2070-385X	Q5039895	CT_Bergstrom	
0000-0002-6374-2322	Q30502809		
0000-0003-1835-8687	Q58303920	ikashnitsky	ikashnitsky
0000-0003-3610-8155	Q94518382		
0000-0001-9268-4179	Q41773302		
0000-0003-3844-0805	Q59563129		
0000-0003-1594-1367	Q59680508		
0000-0001-5341-1733	Q37380613		
0000-0003-1036-2382	Q95989844		
0000-0002-3529-8746	Q25202462		
0000-0002-8104-6873	Q48390979		
0000-0002-0928-7103	Q3013037		
0000-0003-4267-5930	Q56524222		
0000-0003-3321-7583	Q23992201	ChrisGorgo	chrisgorgo
0000-0002-4579-003X	Q59150045	da5nsy	da5nsy
0000-0003-3625-1357	Q91758993	phdtoothfairy	
0000-0002-6086-4711	Q91494485		
0000-0002-6899-1459	Q92285848		
0000-0002-2642-1351	Q54675613		
0000-0002-3622-2794	Q57418946	fiona_bradley	fionabradley
0000-0001-5938-1221	Q56852913		
0000-0003-4521-8006	Q87599556		
0000-0002-1418-0095	Q57606179		
0000-0002-5782-6861	Q83018030		
0000-0002-6866-7544	Q60044745		
0000-0001-5807-3315	Q57427810		
0000-0001-6939-2848	Q91135017		
0000-0003-1612-2697	Q40736644		
0000-0002-8920-5509	Q57564599		
0000-0002-2879-3861	Q40854953	dvdevill	
0000-0003-0215-5551	Q57695970		
0000-0001-7603-3093	Q41050974		
0000-0002-3389-6275	Q92865005		
0000-0002-1089-340X	Q58167926		
0000-0001-6624-636X	Q42853438		
0000-0003-0289-2607	Q60045727		
0000-0002-0827-0908	Q88524167		
0000-0003-0902-4386	Q27050260	tomdemeranville	
0000-0001-9728-4860	Q7176564		
0000-0002-1388-7275	Q98774495		
0000-0001-5982-2541	Q58431594	andersen_hecon	
0000-0002-2978-1408	Q63656594		
0000-0001-9368-535X	Q85394371		
0000-0002-4416-1389	Q64481813		
0000-0001-9220-3179	Q39697411		
0000-0003-1725-2995	Q55130846		
0000-0002-6458-3423	Q87201342	milescranmer	
0000-0002-0246-2335	Q58419458	DEJPett	
0000-0002-6762-5713	Q43632147	sylvain_baillet	
0000-0001-8940-587X	Q27452378		
0000-0002-2725-9173	Q84225656	sharoz	
0000-0002-7241-0506	Q56423623		
0000-0001-7294-376X	Q92622459		
0000-0001-5421-8222	Q87842779		
0000-0003-1221-2767	Q42320152		
0000-0003-0205-7513	Q43247704		
0000-0002-8089-9479	Q59706241		
0000-0002-1548-201X	Q60976017		
0000-0003-0042-0745	Q59247691	OsmaSuominen	osma
0000-0002-2992-2004	Q57934535	EdMHill	
0000-0002-8198-0826	Q52977099		
0000-0001-7271-342X	Q40224666		
0000-0003-2968-1893	Q64025891		
0000-0003-3577-8667	Q104501251		
0000-0002-9315-8426	Q88025399		
0000-0001-9709-7934	Q56544011		
0000-0002-0107-2861	Q56849437		
0000-0002-1536-2966	Q56982848		
0000-0002-2027-360X	Q57499203		
0000-0002-1382-5605	Q57562735		
0000-0002-8886-7797	Q42700620	modrak_m	
0000-0001-7711-2287	Q90052784		
0000-0001-7918-5164	Q87340146		
0000-0003-3155-0729	Q91816694		
0000-0002-9762-0462	Q83180516		
0000-0002-3552-9161	Q104111391		
0000-0002-3048-7679	Q57238095	photocyte	photocyte
0000-0002-0524-2215	Q73564057		
0000-0003-3256-0099	Q55214941		
0000-0002-3687-8750	Q85816870		
0000-0003-1621-6167	Q56000358		
0000-0002-5224-8580	Q48053475	Mick__geek	
0000-0002-3242-5981	Q47341564	MalikaIhle	
0000-0002-8140-3690	Q86847648		
0000-0003-3031-9824	Q56810548		
0000-0002-4751-4637	Q45907528	larswillighagen	larsgw
0000-0003-2209-7846	Q57978775		
0000-0001-6424-3720	Q92551530	sadikmz	
0000-0002-6244-9968	Q91720924		
0000-0003-1939-0865	Q93060621		
0000-0002-2113-6498	Q93216817		
0000-0002-2378-4966	Q95610711	HannesMalmberg1	
0000-0001-5418-0754	Q110658204		
0000-0003-3307-5386	Q59912139		
0000-0001-7959-4902	Q113644451		
0000-0002-7049-1840	Q115193748		
0000-0002-7073-6932	Q87901131		
0000-0002-5861-2056	Q24852176		
0000-0001-6239-5691	Q60537354		
0000-0003-4346-9696	Q57151174	SamanthaLWilson	
0000-0001-5863-4514	Q42801905		
0000-0001-7790-1665	Q96682925		
0000-0002-4868-1971	Q41439885		
0000-0003-1045-6020	Q99708948		
0000-0003-2426-1953	Q50692365		
0000-0002-5263-1483	Q67212762		
0000-0001-9220-784X	Q47503300	dan_ai_lama	
0000-0002-9114-8486	Q43234127		
0000-0001-8906-266X	Q59749199		
0000-0003-3709-9131	Q61473842	JorgeCBerny	
0000-0001-9677-928X	Q97681636		
0000-0002-7185-7031	Q55362934		
0000-0001-5617-7065	Q89000131		
0000-0002-7603-0092	Q64504175		
0000-0003-1015-3089	Q58885435		
0000-0001-7047-9676	Q40329508		
0000-0001-8616-4898	Q59670528		
0000-0002-2260-4935	Q91831286		
0000-0001-7003-6082	Q85660369		
0000-0003-0048-1177	Q24702481	behrenstimb	
0000-0001-7788-4367	Q61157834		
