orcid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0000-0001-5247-1320	0.19957247	-0.1501311	0.36113298	0.37979332	-0.12814839	0.042770393	-0.27209824	0.14427736	-0.06893358	-0.08367524	-0.009954459	0.28225866	-0.07359993	0.34259558	-0.0275729	-0.077561826	-0.13942786	-0.12391825	-0.29454803	-0.13133621	0.3089713	0.025956647	0.015283484	-0.005617009	-0.03264195	0.06963947	0.007608322	0.04082543	0.26949137	-0.011441941	-0.0765719	-0.08552644
0000-0001-5251-8168	0.11404241	-0.31678692	-0.0833239	0.14291325	-0.14741388	0.3157918	0.12493691	0.02908508	-0.1182389	0.05840993	-0.22751877	0.09914002	0.094037026	0.027853059	0.15793443	0.0027641961	-0.15847372	0.2412456	0.0058388864	-0.30507475	-0.25631255	0.17775331	0.23209852	-0.2520648	0.122048944	-0.2708809	0.14076763	-0.16267161	-0.08029408	-0.19987316	-0.18648423	-0.031123353
0000-0001-5272-5124	-0.20726492	0.2758736	-0.10085423	-0.06412604	-0.0730731	0.33967403	0.29798836	0.15316091	0.26900133	-0.14228056	-0.010493988	-0.2293515	0.20852132	-0.18732397	-0.01810699	-0.22783948	-0.009830493	-0.31353247	-0.059556793	-0.009100004	0.07112106	-0.06658474	-0.030584067	0.06783734	0.12742226	-0.20825662	-0.009756711	-0.053133015	0.20626742	-0.23505573	-0.16612032	0.2292912
0000-0001-5291-788X	0.016632883	0.01929775	0.06968988	0.21794218	0.048053794	-0.0029245042	-0.26455152	-0.14090453	0.27225247	0.22439837	-0.2468707	-0.08749015	0.13108455	-0.18437138	0.041447222	0.10996334	-0.29203358	0.16047223	-0.2942012	0.039873645	-0.2315882	-0.15013564	-0.31672946	-0.043379758	0.3230682	-0.20547406	0.00031361595	-0.040683888	0.011109566	0.190611	0.0075517874	0.1856414
0000-0001-5297-0437	0.013152728	-0.3563637	-0.034988686	-0.102721676	-0.24323285	-0.08055307	-0.14969817	0.050008845	-0.2679555	-0.2218657	-0.33870745	-0.026072547	0.20785934	0.018918933	-0.17117725	0.14775448	0.187876	0.17949404	0.094959356	0.07531966	-0.07445371	-0.13126731	0.07831392	-0.15937422	-0.0077047455	-0.20123218	-0.16941841	0.28869158	-0.15068813	-0.34908393	-0.052292	-0.054394927
0000-0001-5298-8979	-0.116850406	-0.3550179	0.20852281	0.18799588	-0.2181548	0.3044925	0.15109904	0.055219952	-0.16960356	0.015143619	-0.13117294	0.09155416	0.025976123	-0.00034439948	0.12220812	0.009316192	-0.2180638	0.30069417	-0.08521334	-0.38650954	0.0810644	0.13874546	-0.022374311	-0.2279029	-0.039616484	-0.16819218	0.09031304	0.20416261	-0.21142076	-0.17922716	-0.124645226	-0.008958376
0000-0001-5318-6062	-0.19669296	0.06663129	0.10960307	-0.21573293	0.18285021	-0.10553406	-0.16051589	0.29385835	0.20289367	0.020616941	0.21910185	-0.15365621	-0.025558403	-0.032100372	-0.0026458343	0.19857854	0.15991014	0.29706645	0.11080742	0.051351145	0.2632951	0.11457538	-0.086461216	0.38171476	0.033870257	-0.2470199	0.11612206	0.11957482	-0.021974871	-0.19059998	-0.30849016	0.031690568
0000-0001-5329-475X	-0.27362603	-0.26309556	-0.09210901	0.19885875	-0.154276	-0.15587218	0.31600884	-0.17648944	-0.23694229	-0.1327304	-0.27959406	0.22131786	-0.4476572	0.24691004	-0.08012274	0.047206577	0.05040322	-0.034471307	-0.015544142	0.17844562	0.07463375	0.01836134	-0.10834646	-0.057891134	-0.12452232	0.0022101856	0.038852595	0.1666412	-0.01561857	0.19090518	-0.010485936	0.13946809
0000-0001-5341-1450	0.15700385	0.09935102	-0.20976952	0.23140427	-0.19289812	-0.146461	0.021910729	-0.12980802	-0.140831	-0.18260163	0.12156417	-0.23063155	0.18227789	0.015630769	-0.02998689	0.22295746	0.008674494	-0.08017436	0.120115556	-0.198584	-0.21402113	-0.15527481	-0.2528043	-0.20369731	-0.14537933	0.12522073	-0.14261635	0.18359002	0.272173	0.24992801	0.26872304	-0.22675164
0000-0001-5341-1733	-0.16195415	0.103982106	0.21251762	0.08169797	-0.1949374	0.28014502	0.02708627	-0.007772936	-0.11012425	-0.0065520694	0.03979934	0.09508658	0.05606065	0.19603571	0.034890614	0.014018365	-0.22609484	0.24758162	-0.28420782	0.2704434	0.2623792	-0.18474461	-0.2596555	0.10022861	0.123601	-0.13808772	0.048123036	-0.41477236	0.12986839	0.13880394	-0.17246996	-0.08196446
0000-0001-5355-5753	-0.05901183	-0.18595019	0.11797076	-0.062623985	-0.055560865	0.13151947	0.10112659	-0.027978593	0.00044120738	-0.115426876	-0.15266158	-0.053991467	0.43149248	0.24953802	-0.28009915	-0.15038402	0.2160868	0.10469453	0.23624896	-0.06907715	-0.14006454	0.235996	0.19111787	-0.1368816	0.033878047	-0.18301997	-0.09038295	0.09243831	-0.18970002	-0.4187982	0.10607909	-0.028867874
0000-0001-5361-4119	0.22385763	0.106253944	0.05958218	0.0680436	-0.14951855	-0.23711504	0.110539235	-0.2754676	0.005847738	0.09744114	-0.061921835	0.1788588	0.17806827	-0.21067587	-0.18867597	-0.40917933	0.17908059	-0.21305987	0.16627759	0.28188255	-0.12757221	-0.062258076	-0.19451432	0.19670093	0.08454321	0.21415131	-0.10026902	-0.17969769	0.24805854	0.008765815	0.030919919	-0.009892492
0000-0001-5361-9876	-0.1348344	-0.2167133	0.11704154	-0.20882358	-0.07748271	0.35592014	0.20745625	0.11736519	-0.16361439	-0.19787563	0.41845307	-0.03611044	-0.16441686	0.056589402	-0.15796693	0.22251824	-0.07224401	-0.27739662	-0.07880507	0.10149596	0.14225863	-0.055504967	-0.17806278	0.26071188	-0.05319871	0.09355893	0.04779496	-0.072060205	-0.018848732	-0.07938495	0.29884624	-0.065703414
0000-0001-5392-976X	-0.040418033	-0.39133763	0.020539345	-0.12678054	-0.046787787	0.23741625	-0.20910497	0.2680912	-0.022938987	-0.018013274	-0.05822515	-0.32116154	0.16200441	0.2114098	-0.3245621	0.022180494	0.008491877	-0.038294904	0.07022062	-0.069257826	0.07027327	0.17101724	-0.06445766	-0.0032391963	0.22726332	-0.24998455	0.19071382	0.06753303	-0.29072633	-0.2380917	0.065470934	0.14222606
0000-0001-5400-6369	0.02406254	-0.1376073	0.19701703	0.09664831	-0.23677701	-0.102144666	0.09164344	-0.020411728	-0.101262525	-0.12720157	-0.04296622	0.08791423	-0.055058602	0.20582546	0.0019557627	0.04954492	0.15917094	0.15868847	-0.03143743	0.1906279	-0.24680105	0.07730015	-0.34144327	-0.42954686	0.015935428	-0.3046446	-0.21990272	0.30801022	0.014670173	-0.13356735	-0.15966794	0.19362429
